,file_number,filename,blue,green,red
505,505,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/8ba61375-3b34-4bc8-97f9-2252f0490f91.jpeg,146.17401750679142,165.14552369453668,201.31578629640808
506,506,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/8e1e561f-38b8-48ea-90b1-e526758546c6.jpeg,131.44492649428565,144.8773334655527,178.62391022303757
507,507,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/36baa4a2-b9c0-45a9-9462-13653e8874ed.jpeg,136.9518375591667,161.02528716572704,201.25837378274895
508,508,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/10e7091e-423c-4ff4-aec2-1df5bf256224.jpeg,136.08369841762334,160.3243437790878,202.42547936704932
509,509,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/ac8d2cbd-de70-4f45-9057-c11ec7df8719.jpeg,126.50650156078804,143.43580096334733,178.12260972029853
510,510,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/f6f0e94c-c98f-436b-b9aa-101d5e50012f.jpeg,115.9073463417053,131.27606426499392,170.36116827411797
511,511,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/a534b007-66ea-4f39-adf2-d8c3eb0691e4.jpeg,121.57703551320918,134.78522448390356,172.3225422260719
512,512,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/b3beeb3c-1e7a-46b5-bd95-29902197c333.jpeg,138.81363368633626,150.74163070524455,178.95357670901902
513,513,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/164ac1c7-3e28-42eb-8601-041a21abe88a.jpeg,135.13852920239992,149.91976543168028,184.4785685231009
514,514,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/6cb375a2-cd20-4570-a641-4e7bc2971e16.jpeg,109.19615214698418,123.47676302180335,154.28701241326738
515,515,/Users/yukahirose/Documents/lab/SCI23/sci23/data/images/face_masked/9ec3be3a-19a9-4acc-a2dc-b6f4207a7833.jpeg,136.07494345829622,156.1563520891874,192.87876087999453
